DATAFLOW,LAST UPDATE,freq,unit,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,AT,2013,7.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,AT,2018,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,AT,2021,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BE,2013,7.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BE,2018,7.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BE,2021,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BG,2013,4.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BG,2018,5.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,BG,2021,5.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CH,2013,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CH,2018,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CH,2021,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CY,2013,6.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CY,2018,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CY,2021,6.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CZ,2013,6.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CZ,2018,7.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,CZ,2021,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DE,2013,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DE,2018,7.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DE,2021,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DK,2013,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DK,2018,7.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,DK,2021,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EE,2013,6.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EE,2018,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EE,2021,7.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EL,2013,6.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EL,2018,6.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EL,2021,6.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,ES,2013,6.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,ES,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,ES,2021,7.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU,2013,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU27_2020,2013,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU27_2020,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU27_2020,2021,7.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU28,2013,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,EU28,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FI,2013,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FI,2018,8.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FI,2021,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FR,2013,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FR,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,FR,2021,6.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HR,2013,6.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HR,2018,6.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HR,2021,6.8,
