DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,AL,2013,3260,d
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,AL,2018,3830,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2013,36180,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2018,37690,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2021,36740,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2013,33490,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2018,35510,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2021,36230,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2013,5390,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2018,6330,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2021,6950,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2013,58650,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2018,61690,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2021,62950,p
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2013,20450,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2018,24500,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2021,26530,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2013,15160,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2018,17990,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2021,18020,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2013,33330,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2018,35650,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2021,35630,p
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2013,44410,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2018,48450,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2021,50740,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2013,12540,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2018,14920,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2021,16350,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2013,16630,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2018,17430,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2021,17600,p
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2013,21850,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2018,24890,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2021,23690,p
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2013,25060,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2018,27620,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2021,28050,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2013,34660,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2018,36740,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2021,37290,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2013,31170,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2018,32800,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2021,32490,p
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HR,2013,10480,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HR,2018,12250,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HR,2021,13610,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HU,2013,10330,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HU,2018,12690,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,HU,2021,13690,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IE,2013,37080,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IE,2018,57610,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IE,2021,72110,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2013,34510,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2018,39090,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2021,36560,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2013,25620,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2018,27030,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2021,27120,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2013,10810,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2018,13400,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2021,14870,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2013,82400,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2018,83390,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2021,86560,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2013,9980,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2018,12140,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2021,12870,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2013,5230,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2018,6230,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2021,6230,
